Artname,Abflugszeitraum,Ankunftszeitraum ,zieht nach,Brutvogel,Durchz체gler,Wintergast,Kurzstreckenzieher,Langstreckenzieher,Teilzieher,avg_comf_temp_low,avg_comf_temp_high,Season
Wiesenpieger,Oktober,M둹z,West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Feldtorche,Oktober,M둹z,Mittelmeerraum,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Waldschnepfe,Oktober,M둹z,S체dwesteuropa,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Rohrammer,Oktober,Februar,West- und S체deuropa,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Ringdrossel,Oktober,M둹z,West- und S체deuropa,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Gold-regenpfeifer,November,November,Mittelmeerraum und Nordafrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,7,Winter
Spiessente,Februar,September,Nord- und Osteuropa,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-2,15,Herbst-Winter
Singschwan,Februar,November,Nord- und Osteuropa,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-2,7,Winter
Saatgans,Februar,November,Nordosteuropa,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-2,7,Winter
Sterntaucher,Februar,November,Skandinavien,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-2,7,Winter
Reiherente,Februar,Oktober,Nord- und Osteuropa,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-2,15,Herbst-Winter
Zwergs둮er,Februar,N/A,Nordosteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,15,Herbst-Winter
Raubw웦ger,Februar,Oktober,Nord- und Osteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,15,Herbst-Winter
Kolbenente,Februar,September,Nord- und Osteuropa,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-2,15,Herbst-Winter
Kiebitz,Februar,September,Nord- und Osteuropa,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-2,15,Herbst-Winter
Singdrossel,Februar,September,Nord- und Osteuropa,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-2,15,Herbst-Winter
Kormoran,M둹z,August,Nordosteuropa,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,-2,15,Herbst-Fr웘ling
Kn둲ente,M둹z,August,Nord- und Osteuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,15,Herbst-Fr웘ling
Pfeifente,M둹z,Oktober,Nord- und Osteuropa,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,-2,15,Herbst-Fr웘ling
Samtente,M둹z,November,Skandinavien,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,15,Winter-Fr웘ling
Schellente,M둹z,November,Nordosteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,15,Winter-Fr웘ling
Sturmm쉢e,M둹z,November,Nord- und Osteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,15,Winter-Fr웘ling
Bekassine,M둹z,N/A,Nordeuropa,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,5,15,Fr웘ling
Bergfink,M둹z,September,Nordosteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,15,Herbst-Fr웘ling
Tafelente,M둹z,September,Nord- und Osteuropa,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,-2,15,Herbst-Fr웘ling
Lachm쉢e,M둹z,Juli,Nord- und Osteuropa,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Gold-regenpfeifer,M둹z,M둹z,Skandinavien,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,15,Fr웘ling
Seidenschwanz,M둹z,N/A,Nordosteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,5,15,Fr웘ling
Kornweihe,M둹z,M둹z,Nord- und Osteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,5,15,Fr웘ling
Grosser Brachvogel,M둹z,Juli,Nordeuropa,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Rotdrossel,M둹z,Oktober,Nordosteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,15,Herbst-Fr웘ling
Wald-wasserl둼fer,M둹z,Juli,Nordosteuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Rohrwehle,M둹z,"August, M둹z",Mittel- und Nordeuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Uferschnepte,M둹z,M둹z,Nordosteuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,15,Fr웘ling
L쉌felente,M둹z,August,Nord- und Osteuropa,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Fluss-regenpfeifer,M둹z,Juli,Nord- und Osteuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Gr웢schenkel,April,"August, April",Nordosteuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Kampfl둼fer,April,"August, April",Nordeuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Wiesenwehle,April,August ,Mittel- und Nordeuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Klapper-grasm웒ke,April,"August, April",Nord- und Osteuropa,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Steinw둳zer,April,"August, April",Skandinavien,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Zwergm쉢e,April,April,Nordosteuropa,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5,15,Fr웘ling
Bruch-wasserl둼fer,April,April,Nord- und Osteuropa,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,15,Fr웘ling
Flussluftf둯ler,April,"Juli, april",Nord- und Osteuropa,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-2,28,Sommer-Fr웘ling
Wespenbussard,Mai,Mai,Nord- und Osteuropa,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,15,Fr웘ling
