tas,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
EUR-11_DMI-HIRHAM5_ICHEC-EC-EARTH_r3i1p1,4.26139841415853,5.94998600810487,5.35350541483827,4.17889346459635,5.18027543065372,4.82142779381022,5.27194713432095,5.70297344652839,6.5445795436178,4.99457803190974,5.41197955953002,4.46522031598129,6.69546248723829,5.55156912920079,4.45223992495425,5.6087171584079,4.6079304538067,5.40461279078041,5.77784283395299,5.75216719324974,5.93763712757207,4.91612406973564,5.68752575313812,6.65857639829915,5.92900713082482,5.40333349996269,5.37209811627612,5.62145296544928,6.83953003726702,5.55359078637621,6.20451862026899,6.29530169253829,5.23709591144196,5.80990671900586,4.59469250977403,5.52960682111446,4.89067558354395,5.1037240145258,4.96306893225006,4.95104369485414,6.37583172934715,5.18557254598989,5.97766604663622,3.99824488857704,6.41744488054925,6.22365791208412,6.29701237578623,6.14500367298273,5.00422920617274,5.21972418677403,5.79967040387237,4.86856885330323,6.82534973203974,5.37421029126122,6.59931688592061,5.84494612000221,5.76498411466001,5.6188812964173,6.36161235289646,5.80388431686908,6.16218638092946,6.15473636171716,5.20550551565705,5.94916192749449,7.45080908875867,6.19943778704354,6.70552630126575,7.18471760259346,5.98988564323056,5.36541219420985,6.06566597687049,7.06593170446474,5.50679144731381,6.35199775429751,5.77746620069604,5.23574338396786,5.92049749864128,6.97020335571009,6.15512838208406,6.44748346636923,7.42726600834615,6.49014831129516,5.70245571533721,6.31312159707873,5.57820991719122,5.66114130477387,6.64325634746235,6.39908556970179,5.9721065531475,5.8911673476089,4.98524419440738,6.45382547497711,5.6907677481542,5.33204706470212,6.35539664047344,7.1471553001123,6.46665705523538,5.77928465489642,7.38071241394213,4.99356458193441,6.43799988176195,5.16182587244022,6.5291383654238,6.26080829457648,6.60954163298587,6.47808888564847,5.43540329189284,6.32616902091673,6.19379727112245,5.57487870647404,7.0790060957722,6.26246785691988,5.81883474811397,6.69467109892004,5.97961686779008,6.38318528559226,7.04253821675142,6.94353398595616,6.32465062146093
EUR-44_KNMI-RACMO22E_MOHC-HadGEM2-ES_r1i1p1,4.81693703735847,5.83968260673382,4.55304011230678,4.91945565672273,5.36828805061445,5.91732884914846,5.03580186961554,5.36417901348673,5.81875792895282,5.95203498017714,5.16693150326188,4.88915342798866,4.61274070640082,4.80405727244236,5.56256705604566,5.70130349097514,6.06557428646467,5.37779222771032,5.78988200953603,5.94140302049295,5.25600159656379,5.24865898630393,5.56651591290654,5.22492198407553,5.31348546938419,6.61362806699745,5.24747460955087,4.41301115492604,6.60335685473337,6.37199821788683,5.80300048163927,5.07531209540301,6.50532486092801,6.51346183329256,6.03204355713698,5.85156548870503,5.13171967398808,6.51637658000978,6.07154159944928,6.67320270339568,6.73161550368775,6.06879033971459,7.02223927373463,8.00773914745956,6.96630873331689,7.47048950052353,5.78309328616382,6.61585558400555,6.28359574386173,6.40173942966137,6.81533910299854,6.62911624891602,7.27265078362345,6.80357072956194,7.41442521250319,6.0948272349054,9.03372619584313,7.05153539064591,7.22795593304065,6.76548262465673,6.14637836543282,6.18394510144794,5.76975358513195,5.99443274864736,7.83636538278878,6.49040150955688,7.49990943927376,6.19769813350979,7.78203827041377,6.95339283431832,7.2576427006104,6.52905840561779,7.92397354002922,6.8867106409136,6.61274643714283,7.10625535022509,8.07029054030697,6.64741645434058,6.43844875655331,6.45941202036599,6.747203246608,7.39017920453653,6.90536184730459,6.19354472560304,7.34709213532598,6.50851692963096,7.28743437646889,6.81330320305885,6.39667539866526,6.50908442953824,6.87265868608625,7.43436122814835,7.32155315370527,7.39105259125314,5.88201408712477,6.18629677001579,7.4864307557706,7.48333912769934,7.82776869692788,6.8295790080669,8.32301031015648,8.13499991850028,7.53627671853466,7.39867858389359,5.790944158221,7.41199669153324,7.55219443713407,7.84383714606992,5.86281485180211,7.93691321498717,5.73024214826032,7.52479588078079,7.04296206787185,6.3943507609183,6.89058265924122,6.68055802918503,5.62029315124416,6.98273414808498,7.66476353527439
EUR-11_MPI-CSC-REMO2009_MPI-M-MPI-ESM-LR_r2i1p1,5.78404821041107,5.3961907886942,4.8729431286875,6.01505617775753,5.27848267537892,4.08124088051377,5.55644892930693,5.59539031221341,5.28340206378796,6.01443483919222,4.28417155455803,4.88450578763308,4.89176001971701,5.57946863202342,5.5270753955712,4.92484375712983,6.24800255210684,5.66137614547444,5.69643617671144,5.0655237429241,4.27527688325562,6.20229263139923,4.78481906840175,5.35162042620412,6.23159707789288,5.07908231984539,6.29721921831207,6.69049230762194,6.49120977413755,5.99781529176142,6.11518031057508,5.96954286589159,6.2423401338628,7.2775244673437,6.76843359812488,6.62928011578989,5.36363130354312,6.42638651820618,6.20159795741627,6.6422583736341,7.4395271236422,6.33016842662627,6.33265337911375,6.58677305598127,7.77778728499534,5.56475088047937,5.46296950001938,6.55904302769299,5.77580005528456,6.26492363057484,7.19795351716907,5.6722551720667,4.83384367988176,6.03971902363522,5.2406521978544,5.74557804281957,6.10325960619045,6.02744616860652,6.55853751716646,7.34910803404531,6.09054436276438,4.94700465175855,6.64855791498116,6.56983070016315,6.49543385166791,6.27764022580772,5.95190774176984,5.66920530154094,6.14154605905474,7.31471724663471,6.77569486558644,6.05963363968923,6.71400618860955,5.94359941435437,5.21128761728035,6.68618107140722,6.17961479731092,6.96187145574253,6.84839900359533,5.5164925380478,6.93919608824013,5.69819957942283,7.33495855654939,6.55660909424234,7.16123616957369,6.95176118156509,6.07333360204927,6.16174923032624,6.41518023296325,6.41660040688963,5.71416187036902,6.09897831988004,6.31443774296062,5.12299467541013,6.63815762660049,7.36548922321015,7.04200399384273,6.24941683320584,5.9224437579436,6.06389196321809,6.62668962264227,6.62757770948627,6.55028614520743,6.16518072776555,6.07219937891396,5.76957277998479,6.22329878555786,7.43966154586054,7.09861430714837,6.65500667681087,6.6100989315292,6.95653730230144,6.88561999008774,5.68211631041815,6.33623311463468,5.68410991504094,6.80584658319303,6.55741706838663,6.61120092633751
EUR-11_SMHI-RCA4_ICHEC-EC-EARTH_r12i1p1,5.00646556115898,5.29219995346057,4.62637040685021,4.9082605443563,6.09448380271984,5.22325530459314,4.77722335303579,4.43630280352861,5.17108162995862,4.67045602473195,5.06172809029162,5.56467561994891,6.33019017399752,4.65068347395436,4.4416955625269,5.5191657619496,5.36894745533335,5.83141730782006,5.54981333051173,4.72611410972778,6.29042681269392,5.39251462844645,5.0017294928153,5.83290383325989,6.69874787933757,7.19208964591957,5.15200333702733,6.26756663401396,6.0360339588928,6.25318224224348,5.37662871911,4.41945407256883,5.71948711239523,5.43281423966072,4.35755440169623,5.66522615774313,6.77339933831541,6.54505603558435,6.51336225417192,6.06831078837153,5.93945506236621,4.63890600798812,6.81662792675391,7.22106058680792,5.73519471563515,6.64476546553398,6.02065016665924,6.44765478067593,6.4618445052932,6.06605394649784,6.90357052508966,6.17025069660486,7.80360220799761,6.69132201371521,6.44559133354287,5.47185096419368,6.675310956105,7.29892552717787,5.81180598248598,6.88518304932957,7.35555288124687,6.87815611281908,5.87693524384142,7.44291499753606,6.58965500966465,6.50560272526079,6.19505383826871,6.56291666060368,6.78848934050339,6.69695203237564,7.44659408324327,7.50447499148266,5.76172978395842,5.31863839813791,7.5669920013802,8.21712113334554,5.91152019438699,6.13699893223611,6.70728327069019,6.02322355524359,7.19213885427248,6.70344082613899,5.85457422196285,5.81812913980092,7.03633704194269,5.72417450524496,7.99513947458831,7.33762636261295,6.90583185946154,6.60144021268573,7.70825209533697,5.5604677512298,6.05833016572722,5.81843873227237,6.29238121069057,5.8321735621232,6.33974706223278,6.88518026997628,7.70499044918401,6.93060089288459,5.66622763814636,7.7426606986948,6.42041142962062,6.68978352918046,5.5411299762384,6.44476945187074,6.97489627247335,6.38774085451236,6.58988116411025,5.83799460718166,6.00413916696945,6.80202827279406,6.91416496830214,7.36678641938245,6.56855361838142,7.19399140286031,6.41822659482927,6.94576470449919,6.26472462319811
EUR-44_SMHI-RCA4_MOHC-HadGEM2-ES_r1i1p1,4.17095692689919,5.6601311480621,4.90273531269545,4.86416085265069,5.58703705314474,5.12318463263168,5.09736820496452,5.67508267627994,4.72918986494857,5.76275734993889,4.57375042645919,4.56084607749849,4.17133365334741,5.63424932808111,6.81816504672947,5.51897672104016,6.82201003054271,4.88754463657744,5.43996826549021,5.02986545902364,5.93831253562719,5.85642313436809,6.42708098362625,4.8270931522635,5.4255001221204,6.23002360211485,5.14589062210609,4.97446340157846,6.42372340445413,6.88668562280307,6.20033629427917,5.58411337889583,7.77189032790433,7.4950351464309,5.46358889366685,5.81973525602082,5.6529054653649,6.56491136495898,6.73103054309346,6.87611042140819,6.40716153357903,6.82052144349711,6.97402235526201,7.85878905760816,6.76859038863638,6.5979183710017,5.6151442325876,7.43301855286045,6.06657118531096,6.73067905251739,7.21539297616054,7.15277287393835,7.5966614804544,6.88129892243098,7.99489821431827,5.74604918909324,7.69281916825856,6.86622843168781,7.38413432862245,7.15499442659986,6.33755957937118,5.46186188524514,6.1678255799004,6.40283467493613,7.50674422685469,7.10735945287986,7.65848226254863,7.3247503457674,8.30923167025987,7.75881384403113,6.98095550995051,7.4838401898642,7.8503859096292,7.8861793288369,7.18027610813843,7.11639922584761,7.77927581553068,6.52078806951626,6.74948647818296,6.88920106833403,6.94182736527787,7.2312397520697,7.1142152503532,5.53390567115729,7.76887066912587,6.08663564823757,7.49769296844312,7.38588265770381,5.89946857230945,6.45378354457435,6.87047498701206,6.89208282025582,7.67891673457554,7.53155797851196,6.15321086591903,6.08482115366277,6.97310953389719,7.59875795912783,7.56377223791371,6.69229371650907,8.97321670908349,8.94509353409552,8.24123874951985,7.01855064719139,6.20281707713652,7.04079361729644,8.08920675791537,8.02341016063247,6.31286355573569,7.23171761383136,6.52481612264375,7.62123396974564,7.30804801853203,6.57859857048892,6.93388297607496,7.39026371425008,6.12430853554457,7.18220638415643,6.36323182546909
EUR-44_SMHI-RCA4_MPI-M-MPI-ESM-LR_r1i1p1,5.65056506348022,6.11176144341818,5.15431355838332,3.87739621195332,5.16438482630381,5.99113969009141,5.36292642851266,5.29564641477568,5.42159743631637,4.82851773998872,5.23798536876756,5.45645058398018,5.3459935214199,5.38280452620216,4.99571075005892,5.49852362583066,5.28527536053325,5.70029211992589,5.91679229948039,7.04230095243979,6.03189822692372,5.53145164640172,6.34067226211402,6.19779694195037,4.56849515833066,4.10528157103269,5.29331620479666,5.92101626071926,4.85675740746011,5.90778800981768,4.9947373872712,4.80173505922105,5.29194017103792,7.27037401527017,5.68377986490924,5.41192103265094,6.49453271803048,5.93681913208869,6.02305261583003,7.02520016955647,6.7135125621412,5.89791123283912,6.35098366162486,6.08040915113836,6.03089750721872,5.9236632683426,6.12375361544681,6.46421976183021,6.74373714819991,5.9107919477322,6.62903385975493,6.87872684242062,8.01757757726677,7.95647785121203,8.05963865272733,7.0245901849015,6.91883264200023,6.2442885823122,5.95451653578392,7.14157745559125,6.95669805701236,5.79634377516425,7.56986813041282,7.86882052062982,5.93584730335573,7.04099461582144,7.3804467078584,7.58896792209512,7.67556143867419,6.72214167074769,6.6543659155408,4.85952297149946,7.728018019195,6.92253724210971,7.36632365827173,6.14036096581676,5.63263540097484,7.32077082299637,6.2327625035293,5.70138426311368,5.84749080374506,6.81403488717323,7.78091665837256,6.12586806090235,7.19301341534513,7.14297645993498,7.3369917564489,7.73050566018238,6.89411781155368,6.32325978581466,7.25485294395134,6.49390954473727,6.9120583558409,7.202626263468,6.80941686966251,7.38950841841352,5.65450534908648,6.08800742417092,8.341738590275,7.27757666342131,7.1235632771771,6.14157586685227,5.5544023753319,6.43782020457698,6.43287081301361,6.56119115108594,6.72126004097611,7.0430371835852,6.4052489947151,6.48454034686001,8.12306611152168,7.02049875548654,6.09795209270443,5.12990224562496,5.9961663223377,6.77579631703004,6.5839481482767,6.44131093217331,6.78369089877914
EUR-44_SMHI-RCA4_MIROC-MIROC5_r1i1p1,6.37913557152189,4.93879515255868,6.15267112481536,4.45616676432112,4.92638079804365,4.41107806386936,4.81140551671928,5.11370146324262,5.84335028001093,5.15204514175635,5.39283949591925,4.79090957634635,6.3892645207506,4.14353815923529,5.93148227921134,5.49427292206598,4.08818185879969,6.08201629275064,6.24378261526554,4.8441259326963,6.27917035278436,6.05872550775914,6.04355833353484,5.17043987521417,5.40838673290989,6.0801511556577,5.24288918421435,5.36915923417357,6.27608561930333,5.76703974481488,5.12103156689041,5.27948244767384,7.13366327310198,5.59786927137561,5.35146120947267,6.19121893780282,6.12413700964244,6.67896541418312,6.70135034508904,6.52427020940159,6.01389415315639,6.07904949816544,8.39236376788501,6.5204000869689,6.59019384082453,6.59801958694253,7.27905484473774,6.52590989182963,6.21496946525366,6.0278495111222,7.14757283167549,6.39276640327591,7.58419391649755,6.83306464429111,6.41556704136882,7.26635050573718,6.3467662453317,6.40531593633792,5.54938924658749,5.82355291475263,7.10266529209026,6.99548548460353,6.09126193710791,7.80342858263022,7.36175980971377,7.4057305239994,8.63665239070567,7.69146418911143,4.67029291700115,6.06568979410708,6.61263753437703,7.4690501798649,6.29480782213494,6.74081684178271,8.01805483862812,6.31253132709828,5.80042077294988,5.77124104742387,6.90751565422274,6.77074771786702,7.24498459570243,6.06594468391561,7.2290025443098,7.12037735479083,8.03498839922154,7.09759956072229,7.74822198485034,8.22779248586971,6.29343070654404,7.94628142367729,5.66616507879328,7.38421391643217,9.12081996447428,6.56674136915837,6.01868926691744,5.52042014393525,6.39118797909895,7.57214355802132,5.99967896160583,6.83321771851049,6.88263067374166,5.62584269644772,5.29147815671346,7.20499369859167,7.88501185136588,7.31460142489222,7.04462564440063,5.61693264412097,7.17999724548,8.22675309307313,6.7915156244545,5.16109138172878,6.44197356533011,6.61711993534295,6.4571204302428,6.00225370667391,7.35311692946748,7.11827031690223,7.69348276840602
EUR-44_SMHI-RCA4_NCC-NorESM1-M_r1i1p1,4.99081658097836,4.96941951304674,5.75368978460441,4.43596205033798,5.30465542415739,4.23650172799402,4.5069839167051,5.51374301474594,5.09140381839676,4.50426619554847,5.59852672097389,6.52951178360564,5.04057145628969,4.95154156651718,5.58469245513453,5.97963863038313,6.21905140422228,5.63371293928762,5.92282102022299,4.48238000333388,5.65276455100472,4.64264716066401,5.25360506779155,5.90633158806841,6.33699714478284,5.81126451753764,6.56821935416184,5.07684701055987,6.14903217288061,6.47205325728795,5.98657336583377,5.65505601266074,6.6001243608368,4.37923783250797,6.1638996525526,6.36727403327238,5.95157609584984,6.23724699965823,5.43527766375371,5.91992819443342,5.68154879084658,7.40434658865535,6.24943740669272,6.08974528866078,4.78085520936072,6.38015304735947,6.15500438261216,7.1892866588442,6.53921655411207,6.43190731337552,5.93585400264354,6.28056281506348,4.82293291432188,6.10261111932472,7.22393581124376,5.10065764271953,6.45777777063607,6.97997165831306,7.69556683543091,8.37262923956663,6.60249709217216,5.68675604577331,6.69482639082728,6.17462061780366,5.77062702746636,6.7651537338613,7.33720661668219,6.25860137686858,7.70739232704716,6.61681088494219,6.70021434978437,6.5301176702566,6.90225544216298,7.34288323159551,5.93540854660038,5.58330491790994,6.72415803741361,7.62134893863322,7.58830471133543,6.01852889351851,7.77439256608774,7.63018872678621,6.71218408762938,6.60532214950009,6.10971389999973,7.39804138557863,5.64497578823839,7.8262006075511,7.44701996128588,6.20982548932341,6.8547969036041,6.93999013989526,6.21990326202958,6.07483879622195,6.72535196047065,5.45902638901381,7.67080055445342,7.51883670359957,7.61355750026951,6.24911606970509,6.91879915025254,6.87878757019028,7.12342420901626,6.97455981589114,7.60410481535259,6.46629693660394,7.46534164914261,6.4637573278574,6.51537337993614,6.31948707027502,7.3734360563192,6.42695212837645,6.5694556576854,6.67371743170682,7.3727277101462,5.47385632843636,6.25738225048437,5.8837559302261,5.25662669619534
